time	accX	accY	accZ	pitch	roll	yaw							
34.2	0.00062561	-0.008300781	-0.9863281	-0.0112957	-0.01186266	-0.00314705							
34.25	-0.004211426	-0.002456665	-0.9855042	-0.002891233	-0.002287342	0.001614266							
34.3	-0.00112915	-0.000534058	-0.9893341	-0.002709695	0.002410744	-0.005283752							
34.35	-0.003311157	-0.006393433	-0.9864349	0.002203682	-0.002352015	-0.006456454							
34.4	-0.003234863	-0.007415771	-0.9912872	-0.005140265	-0.008303959	-0.005394791							
34.45	-0.000106812	-0.000518799	-0.9902802	0.003325972	0.002440953	-0.002936584							
34.5	-0.005096436	-0.00453186	-0.9932861	-0.000569446	-0.01176139	0.006168081							
34.55	-0.001312256	-0.004364014	-0.984436	-0.002642592	-0.004750658	-0.007662594							
34.6	-0.001251221	-0.007385254	-0.9912262	-0.001609112	-0.004685797	-0.000715086							
34.65	0.000778198	-0.005401611	-0.9902344	-0.002738432	-0.002338725	-0.004170724							
34.7	0.000915527	-0.0025177	-0.9931488	-0.000245235	0.007164076	-0.00638469							
34.75	0.000839233	-0.004455566	-0.9921722	-0.003760886	-0.01430424	-0.011227							
34.8	0.000823975	-0.002471924	-0.9892731	-0.007742404	-0.001115611	0.000439577							
34.85	-0.001144409	-0.002487183	-0.9902954	-0.000276974	0.007174036	-0.005228453							
34.9	-0.001358032	-0.006332397	-0.9844208	-0.006546767	-0.009433582	0.00152703							
34.95	-0.003173828	-0.004470825	-0.9903412	-0.003020225	0.000133761	0.006261454							
35	-0.000183106	-0.004440308	-0.9912109	-0.000450753	-0.007044291	0.0015824							
35.05	-0.002029419	0.000396729	-0.9922791	0.008114179	-0.002281373	0.00051648							
35.1	-0.003173828	-0.004470825	-0.9903412	-0.006424691	-0.007095115	-0.003079202							
35.15	0.001708984	-0.007339478	-0.9901886	0.003384926	0.003609531	-0.005241571							
35.2	-0.000106812	-0.001495361	-0.9912262	0.003143454	-0.005777472	0.003983736							
35.25	0.00076294	-0.006393433	-0.9902191	-0.003830967	-0.008283569	-0.008803821							
35.3	-0.003067017	-0.002563477	-0.9932556	-0.001449783	-0.01301853	-0.006519753							
35.35	0.000701904	-0.004364014	-0.9853668	-0.006332459	-0.009456384	-0.006514876							
35.4	-0.000137329	-0.003479004	-0.9922028	0.002004492	0.007279823	0.000624976							
35.45	0.002838135	-0.004440308	-0.9930725	0.000945643	8.57E-05	-0.005231198							
35.5	-0.00302124	-0.001586914	-0.9942322	-0.002870002	0.002513049	0.000554369							
35.55	0.003860474	-0.004455566	-0.9949951	0.007228042	0.002458083	-0.01206813							
35.6	-0.005996704	-0.004592896	-0.9972076	-0.007583971	-0.009401832	-0.005316637							
35.65	-0.004241943	-0.004425049	-0.9864655	-0.000216368	0.004868852	-0.007459825							
35.7	-0.00213623	-0.000534058	-0.9884033	-0.000432006	0.004965489	0.000643856							
35.75	-0.003112793	-0.005523682	-0.9951935	-0.008805296	-0.005810773	-0.005285526							
35.8	-0.000976563	-0.001586914	-0.9970856	-0.005281022	0.006136741	-0.000529774							
35.85	-0.003219604	-0.004455566	-0.9884033	-0.001363304	-0.002246609	-0.009842126							
35.9	-0.001174927	-0.006454468	-0.9931641	-8.85E-05	0.004874617	-0.0120844							
35.95	-0.001159668	-0.005462646	-0.9931793	-0.009998352	0.00253143	-0.006376039							
36	-0.002166748	-0.004470825	-0.991272	0.000920918	0.003783158	-0.004000341							
36.05	-0.000167847	0.00050354	-0.9863892	-0.00279815	0.001417824	-0.001728809							
36.1	-0.003173828	-0.007461548	-0.9942017	0.00076099	0.008594799	0.001826413							
36.15	0.000808716	-0.004425049	-0.9902344	-0.005038728	-0.008148612	-0.008776573							
36.2	-0.003112793	-0.00352478	-0.9922943	-0.001300222	0.007296566	-0.01208674							
36.25	-0.003204346	-0.005447388	-0.9903412	-0.01011221	0.001426395	-0.001776723							
36.3	-0.001113892	-0.004501343	-0.9941559	0.01056533	0.002690618	0.000658649							
36.35	-0.000213623	-0.00642395	-0.9921722	0.004499245	0.001480522	-0.000543358							
36.4	0.000946045	-0.004516602	-0.9970245	-0.000474727	0.00388414	0.002921533							
36.45	0.001922607	-0.002532959	-0.9950714	0.002115128	0.008595957	-0.002805984							
36.5	0.000823975	-0.004440308	-0.9911957	-0.003256745	0.005184968	0.01564372							
36.55	0.001861572	-0.004470825	-0.9940796	-0.001589659	-0.01042898	-0.000685606							
